y,x,mass,size,ecc,signal,raw_mass,ep
95.39448006690827,773.0487872874269,1010.0945627853359,4.167793732893249,0.4844974838662889,19.148712090717268,5075.0,0.009571204764450473
96.98725055432372,727.2536031042129,1016.008135636881,4.207380538741736,0.40353710200741555,19.148712090717268,5565.0,0.008728153305463475
95.40391508133443,755.901847256686,1021.3585110739932,4.210448227476663,0.49699373927889984,18.86711338350084,5148.0,0.009435429649395036
98.96001095590249,709.925225965489,1028.1168800471876,4.2260490473412755,0.4273188038230691,18.30391596906798,5605.0,0.008665842668888545
99.1455503188245,822.2927640698641,1015.7265369296646,4.322044254434307,0.442135005003896,17.740718554635116,4986.0,0.009742119335852695
105.1784376672017,674.1217228464419,1052.615967575017,4.202091252403492,0.505969538481817,19.4303107979337,5432.0,0.008941937032947704
116.17537212449255,635.1439783491204,1040.5072231647105,4.297590349790722,0.43465080505720133,19.4303107979337,5642.0,0.008608992223619378
129.23089386983526,929.9719146637862,1042.760012822442,4.220719695763098,0.3180012996915767,16.614323725769395,4823.0,0.010071504811607726
129.96488840500817,599.9115405552532,1034.5936503131654,4.3232228547615374,0.38097493928854015,19.711909505150132,6017.0,0.008072271488188268
137.1005376344086,583.9311827956989,1047.5471908451211,4.2646332520151775,0.4004195602966886,19.148712090717268,5892.0,0.008243584720478293
161.25486074619022,541.0985286389911,1071.7646796657343,4.2834722509239045,0.35265911311139975,18.86711338350084,5992.0,0.00810596213665096
172.81993299832496,523.964824120603,1008.6865692492538,4.205530643751537,0.37137003605561564,19.4303107979337,5925.0,0.008197655535190976
186.86293103448276,505.03218390804597,979.9635011131779,4.257346591481601,0.4250928428603279,18.30391596906798,5532.0,0.00878023818137151
203.44036697247705,1046.0598324690866,705.9679589915911,4.173921353535139,0.3418714236022149,15.206330189687243,4245.0,0.0114434910965682
205.02148040638608,484.1085631349782,970.1075463606029,4.236410014543063,0.3744197995909981,17.177521140202256,5527.0,0.008788184106690914
214.91184668989547,1057.9236933797908,808.1882897111553,4.33219854702795,0.41152178306304477,15.206330189687243,4535.0,0.010711389463935574
225.9000626566416,463.1293859649123,898.863073434846,4.261428684853264,0.41962399411997003,16.614323725769395,4898.0,0.009917222997187126
247.23555555555555,1087.737037037037,760.3165094843622,4.249270089826757,0.35525738932485285,15.769527604120105,4324.0,0.011234320106226327
331.13117117117116,390.358018018018,1562.872825051189,4.223337137451447,0.43228334358975085,28.723068136075906,8701.0,0.005581641387690959
355.6914951245937,965.5687973997833,1039.6624270430611,3.733939969028384,0.3255668966816404,27.03347589277732,13332.0,0.0036425121596262563
361.2050227559357,1017.4812743324012,5135.515623506042,4.544220772007112,0.07279038921783862,50.40616859174105,24834.0,0.001955326885388146
362.2574928639391,410.3827307326356,4735.363860551494,4.53270701910322,0.1025983766656164,48.9981750556589,27634.0,0.0017571900716154656
364.99923441312984,915.3658548255897,5885.131382116179,4.433925646219464,0.07019722950657967,66.73889361029401,28246.0,0.0017191147088281265
360.94867908185364,1061.1974880900823,1300.4228299254758,4.1059749004428,0.3973408166561906,27.878272014426614,12181.0,0.003986754996436737
365.255038344926,375.5705368289638,1578.9239513625255,4.18897718701983,0.45430127717146424,31.25745650102378,8687.0,0.005590638858279554
365.4478021978022,704.3049941130298,5740.108047899718,4.3924718405132355,0.11315463845854638,71.80767034018976,28149.0,0.0017250391114789765
364.8747325885429,1136.4846684097931,1184.685761259523,3.958424293885223,0.3530274229297963,25.9070810639116,10277.0,0.004725517608105886
367.4459400781589,887.0800887730979,5836.696404474954,4.448615184946131,0.07617921028413398,67.86528843915974,27535.0,0.0017635083752529682
364.9133049361062,1043.4893510398397,1123.8604405007738,3.938610601507617,0.36009673602119857,23.372692698963725,11992.0,0.004049598788092803
367.32057291666666,793.5614583333333,1081.339035711093,3.692369665946247,0.3099661789214632,28.441469428859474,13809.0,0.003516671713744071
368.574687227233,981.3503054989817,4839.273783514357,4.439225267723721,0.048929635374864035,49.842971177308186,27023.0,0.0017969237367720062
369.0470693183607,1113.300624442462,5366.426563423514,4.411567748485255,0.0771751605708027,59.69892592988325,22798.0,0.0021299648288985945
368.771990433165,747.5336167951103,1059.6559352554277,3.7615973560639047,0.4427889561590454,27.315074599993753,14139.0,0.003434582009722579
372.0703348040488,935.1872307293019,5424.999094524533,4.395913918023087,0.043392643949527486,62.79651170926399,27531.0,0.001763764615399722
373.2214328004737,678.8342214328005,951.240432977102,4.240895936263271,0.37584384291309236,19.711909505150132,14413.0,0.0033692794038883214
375.1513786596871,964.1994034938219,4626.385160858736,4.556641317480607,0.04429215757246525,42.803003496897425,27702.0,0.0017528763911062802
374.9837320089195,812.265862558281,5556.5056907946055,4.650140754982738,0.06112697188478218,52.37735954225606,28180.0,0.0017231413109410469
374.44062022788677,1075.2487959591213,4794.499589066944,4.481477076901159,0.06849438368719346,51.53256342060677,25109.0,0.0019339099491246094
375.4625863642289,440.5223569286925,4320.287366114476,4.3840453915952695,0.11442922449936499,47.87178022679318,27191.0,0.0017858205975344501
375.2752231604343,656.0651869722557,5836.13320706052,4.435621788586941,0.08947322127147402,67.30209102472688,28695.0,0.0016922132812452874
381.4514456859809,731.3918327381638,4889.116754691665,4.486338360592907,0.049413841125350286,53.222155663905355,29031.0,0.0016726265308550268
381.8486795146324,411.08957887223414,789.0395776204381,2.805304957206343,0.14199940818493123,30.412660379374486,16754.0,0.002898440946458826
